@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
0.863636,0.389454,8.812617,0.584615,0.54498,0.000014,notBlood
1,0.436332,2.244994,0.594872,0.538462,0.000005,notBlood
1,0.541408,8.5875,0.605861,0.461538,0.000018,notBlood
1,0.753982,5.993052,0.610256,0.509778,0.000006,notBlood
1,0.408965,5.597557,0.61685,0.483703,0.000021,notBlood
1,0.775702,10.11138,0.627839,0.146023,0.000005,notBlood
1,0.523599,5.377422,0.637363,0.139505,0.000006,notBlood
1,0.446804,4.690416,0.65348,0.418514,0.000008,notBlood
1,0.392699,4.031129,0.654945,0.864407,0.000017,notBlood
1,0.426636,4.753424,0.659341,0.413299,0.00001,notBlood
1,0.698132,3.455069,0.664469,0.883963,0.000008,notBlood
1,0.436332,0.489898,0.671795,0.934811,0.000005,notBlood
1,0.775702,4.445222,0.672527,0.397653,0.000005,notBlood
1,0.427428,2.4,0.687179,0.306389,0.000014,notBlood
0.947368,0.556958,6.836254,0.688645,0.370274,0.000015,notBlood
1,0.753982,5.639641,0.698901,0.352021,0.000006,notBlood
1,0.239983,3.473631,0.724542,0.565841,0.00001,notBlood
1,0.775702,1.095445,0.724542,0.601043,0.000005,notBlood
1,0.436332,1.32665,0.72674,0.632334,0.000005,notBlood
0.9,0.408407,4.813689,0.731136,0.548892,0.000012,notBlood
1,0.310281,0.433013,0.72967,0.661017,0.000008,notBlood
0.862069,0.239075,3.307189,0.739927,0.54498,0.000015,notBlood
0.833333,0.239983,19.510579,0.745788,0.089961,0.000042,notBlood
1,0.753982,6.011563,0.74652,0.100391,0.000006,notBlood
1,0.753982,2.44949,0.747253,0.542373,0.000006,notBlood
0.852632,0.16848,19.492741,0.755311,0.808344,0.000115,notBlood
1,0.623126,13.124405,0.74652,0.84485,0.000006,notBlood
0.88,0.40715,19.790566,0.755311,0.166884,0.000077,notBlood
1,0.872665,2.947881,0.753114,0.092568,0.00001,notBlood
