@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
0.90625,0.319068,7.348167,0.645658,0.669755,0.000009,notBlood
1,0.775702,7.483315,0.645658,0.67505,0.000002,notBlood
0.954545,0.545235,7.529835,0.645658,0.681668,0.000007,notBlood
0.656836,0.353971,10.450817,0.666998,0.358703,0.001286,notBlood
1,0.521787,0.924211,0.647146,0.663137,0.000004,notBlood
0.70442,0.290272,12.245929,0.666998,0.408339,0.000993,notBlood
0.57277,0.23765,13.855298,0.658065,0.446724,0.000281,notBlood
1,0.669215,10.931888,0.647643,0.654533,0.000003,notBlood
0.657754,0.35792,10.486893,0.668486,0.285242,0.001307,notBlood
0.813953,0.339815,7.221191,0.651117,0.659828,0.000016,notBlood
0.947368,0.522148,9.801134,0.648635,0.665122,0.000005,notBlood
0.712644,0.3059,10.356315,0.666005,0.236929,0.000967,notBlood
0.713881,0.301228,10.058918,0.666998,0.191926,0.00098,notBlood
0.941176,0.521787,3.484091,0.654591,0.70814,0.000004,notBlood
0.876543,0.21643,8.046949,0.66402,0.659828,0.000037,notBlood
1,0.446143,2.852874,0.656079,0.672402,0.000002,notBlood
1,0.594858,1.866648,0.657568,0.679021,0.000003,notBlood
0.952381,0.598399,1.587936,0.658561,0.674388,0.000007,notBlood
1,0.610865,4.562491,0.658561,0.70814,0.000002,notBlood
1,0.841177,9.564249,0.659553,0.782263,0.000027,notBlood
1,0.626894,8.48869,0.660546,0.639974,0.000007,notBlood
1,0.775702,1.264911,0.659553,0.678359,0.000002,notBlood
0.914286,0.833484,8.769006,0.665509,0.584381,0.000107,notBlood
1,0.743572,8.627862,0.660546,0.711449,0.000003,notBlood
1,0.736311,6.550318,0.661042,0.657181,0.000005,notBlood
0.83871,0.444596,4.97711,0.662531,0.678359,0.000011,notBlood
0.962963,0.586086,10.780605,0.66402,0.753805,0.000011,notBlood
0.793103,0.388497,8.884615,0.663524,0.642621,0.000009,notBlood
1,0.687223,3.251373,0.663027,0.696889,0.000005,notBlood
1,0.512913,11.310946,0.663027,0.648577,0.000003,notBlood
1,0.775702,2.4,0.663027,0.653872,0.000002,notBlood
1,0.413708,9.625992,0.666005,0.673064,0.000008,notBlood
1,0.791925,11.247949,0.668486,0.622105,0.00003,notBlood
0.898305,0.216599,8.379472,0.666998,0.699537,0.00002,notBlood
